,Frequency,Phase
0,0.1,-3.3333333335524692e-06
1,0.6,-2.0000000047333334e-05
2,1.1,-3.6666666958336423e-05
3,1.6,-5.33333342309136e-05
4,2.1,-7.000000202941672e-05
5,2.6,-8.666667051819769e-05
6,3.1,-0.00010333333986160844
7,3.6,-0.00012000001022400083
8,4.1,-0.0001366666817697269
9,4.6,-0.0001533333546631386
10,5.1,-0.00017000002906858802
11,5.6,-0.00018666670515042724
12,6.1,-0.00020333338307300844
13,6.6,-0.0002200000630006837
14,7.1,-0.00023666674509780535
15,7.6,-0.0002533334295287258
16,8.1,-0.0002700001164577974
17,8.6,-0.0002866668060493725
18,9.1,-0.0003033334984678039
19,9.6,-0.0003200001938774441
20,10.1,-0.00033666689244264594
21,10.6,-0.00035333359432776213
22,11.1,-0.0003700002996971456
23,11.6,-0.0003866670087151495
24,12.1,-0.000403333721546127
25,12.6,-0.00042000043835443144
26,13.1,-0.0004366671593044161
27,13.6,-0.0004533338845604346
28,14.1,-0.0004700006142868405
29,14.6,-0.00048666734864798763
30,15.1,-0.00050333408780823
31,15.6,-0.0005200008319319217
32,16.1,-0.0005366675811834173
33,16.6,-0.0005533343357270704
34,17.1,-0.0005700010957272362
35,17.6,-0.0005866678613482694
36,18.1,-0.000603334632754525
37,18.6,-0.0006200014101103577
38,19.1,-0.0006366681935801231
39,19.6,-0.0006533349833281766
40,20.1,-0.0006700017795188738
41,20.6,-0.0006866685823165707
42,21.1,-0.0007033353918856233
43,21.6,-0.0007200022083903877
44,22.1,-0.0007366690319952206
45,22.6,-0.0007533358628644788
46,23.1,-0.0007700027011625193
47,23.6,-0.0007866695470536987
48,24.1,-0.000803336400702375
49,24.6,-0.0008200032622729058
50,25.1,-0.0008366701319296488
51,25.6,-0.0008533370098369621
52,26.1,-0.0008700038961592043
53,26.6,-0.000886670791060734
54,27.1,-0.0009033376947059098
55,27.6,-0.0009200046072590914
56,28.1,-0.0009366715288846382
57,28.6,-0.0009533384597469096
58,29.1,-0.0009700054000102657
59,29.6,-0.000986672349839067
60,30.1,-0.0010033393093976744
61,30.6,-0.0010200062788504488
62,31.1,-0.0010366732583617507
63,31.6,-0.0010533402480959423
64,32.1,-0.001070007248217385
65,32.6,-0.0010866742588904418
66,33.1,-0.0011033412802794748
67,33.6,-0.0011200083125488464
68,34.1,-0.0011366753558629203
69,34.6,-0.00115334241038606
70,35.1,-0.0011700094762826286
71,35.6,-0.0011866765537169918
72,36.1,-0.0012033436428535128
73,36.6,-0.0012200107438565572
74,37.1,-0.0012366778568904902
75,37.6,-0.0012533449821196779
76,38.1,-0.0012700121197084856
77,38.6,-0.0012866792698212803
78,39.1,-0.0013033464326224285
79,39.6,-0.0013200136082762975
80,40.1,-0.0013366807969472554
81,40.6,-0.0013533479987996697
82,41.1,-0.0013700152139979093
83,41.6,-0.001386682442706342
84,42.1,-0.0014033496850893385
85,42.6,-0.0014200169413112673
86,43.1,-0.0014366842115364998
87,43.6,-0.0014533514959294053
88,44.1,-0.0014700187946543556
89,44.6,-0.001486686107875721
90,45.1,-0.0015033534357578753
91,45.6,-0.0015200207784651894
92,46.1,-0.0015366881361620368
93,46.6,-0.0015533555090127902
94,47.1,-0.0015700228971818235
95,47.6,-0.0015866903008335115
96,48.1,-0.0016033577201322283
97,48.6,-0.0016200251552423491
98,49.1,-0.0016366926063282497
